0;человек;{"name":"человек"}
1;время;{"name":"время"}
2;жизнь;{"name":"жизнь"}
3;работа;{"name":"работа"}
4;слово;{"name":"слово"}
5;место;{"name":"место"}
6;вопрос;{"name":"вопрос"}
7;сторона;{"name":"сторона"}
8;страна;{"name":"страна"}
9;случай;{"name":"случай"}
10;конец;{"name":"конец"}
11;система;{"name":"система"}
12;часть;{"name":"часть"}
13;город;{"name":"город"}
14;отношение;{"name":"отношение"}
15;женщина;{"name":"женщина"}
16;машина;{"name":"машина"}
17;проблема;{"name":"проблема"}
18;решение;{"name":"решение"}
19;дверь;{"name":"дверь"}
20;история;{"name":"история"}
21;власть;{"name":"власть"}
22;закон;{"name":"закон"}
23;война;{"name":"война"}
24;голос;{"name":"голос"}
25;книга;{"name":"книга"}
26;возможность;{"name":"возможность"}
27;результат;{"name":"результат"}
28;область;{"name":"область"}
29;статья;{"name":"статья"}
30;число;{"name":"число"}
31;компания;{"name":"компания"}
32;народ;{"name":"народ"}
33;группа;{"name":"группа"}
34;развитие;{"name":"развитие"}
35;процесс;{"name":"процесс"}
36;условие;{"name":"условие"}
37;средство;{"name":"средство"}
38;уровень;{"name":"уровень"}
39;форма;{"name":"форма"}
40;связь;{"name":"связь"}
41;минута;{"name":"минута"}
42;улица;{"name":"улица"}
43;вечер;{"name":"вечер"}
44;качество;{"name":"качество"}
45;дорога;{"name":"дорога"}
46;действие;{"name":"действие"}
47;государство;{"name":"государство"}
48;любовь;{"name":"любовь"}
49;взгляд;{"name":"взгляд"}
50;школа;{"name":"школа"}
51;общество;{"name":"общество"}
52;деятельность;{"name":"деятельность"}
53;организация;{"name":"организация"}
54;президент;{"name":"президент"}
55;комната;{"name":"комната"}
56;порядок;{"name":"порядок"}
57;момент;{"name":"момент"}
58;театр;{"name":"театр"}
59;письмо;{"name":"письмо"}
60;помощь;{"name":"помощь"}
61;ситуация;{"name":"ситуация"}
62;рубль;{"name":"рубль"}
63;состояние;{"name":"состояние"}
64;квартира;{"name":"квартира"}
65;внимание;{"name":"внимание"}
66;программа;{"name":"программа"}
67;задача;{"name":"задача"}
68;предприятие;{"name":"предприятие"}
